Özellik,Cohens_d
rst_count,4.9748988566881245
psh_flag_number,4.475983077416248
Variance,3.189010684677535
ack_flag_number,3.1359435941275655
Max,1.6041248871675167
Magnitue,1.5482192998850017
HTTPS,1.2374723464386308
Tot size,1.1598333232899354
AVG,1.1505144742324578
Std,1.149151192589437
Radius,1.1482795502037229
Header_Length,1.1438156501548258
Tot sum,1.072951395551545
TCP,1.0430458587458626
Min,0.9698451922658153
UDP,0.9014960432476554
ARP,0.8342866156842461
IPv,0.8342866156816996
LLC,0.8342866156816996
Protocol Type,0.7712211825094476
Duration,0.7582474948782875
HTTP,0.756036965147466
syn_flag_number,0.5461136027173747
DNS,0.5418443999493225
Covariance,0.5409948547496017
Rate,0.4166065129507163
Srate,0.4166065129507163
syn_count,0.38682183453522895
rst_flag_number,0.37201920225139795
ICMP,0.3109970232393752
fin_count,0.1826876894942694
ack_count,0.1588732045472586
fin_flag_number,0.14647183524031665
IGMP,0.07984705597310468
SMTP,0.019091920989740645
IRC,0.018883692971715344
Telnet,0.018851302100665566
SSH,0.014444883155490766
IAT,0.012612283767320352
ece_flag_number,0.011502709223655358
Number,0.010916564105067196
Weight,0.010832702533550323
cwr_flag_number,0.005055829878485271
DHCP,0.001999821751555297
