target,variant,variant_name,n_target,n_loo_benign,h2_strict_rescue_recall,h2_binary_recall,ae_only_rescue_recall,flag_rate_all,false_alert_rate_benign,case1_pct,case2_pct,case3_pct,case4_pct,case5_pct
Recon_Ping_Sweep,baseline_ae_p90,"Baseline (Phase 6, AE p90)",169,31,0.16129032258064516,0.8461538461538461,0.16129032258064516,0.9648491260473311,0.19052304092323238,0.514792899408284,0.029585798816568046,0.30177514792899407,0.15384615384615385,0.0
Recon_Ping_Sweep,baseline_ae_p95,Baseline (AE p95),169,31,0.06451612903225806,0.8284023668639053,0.16129032258064516,0.9600579646473929,0.07932033929853485,0.4970414201183432,0.011834319526627219,0.31952662721893493,0.17159763313609466,0.0
Recon_Ping_Sweep,confidence_0.6,Confidence floor (τ=0.6),169,31,0.2903225806451613,0.8698224852071006,0.16129032258064516,0.9651842271604496,0.19437870609195096,0.5029585798816568,0.04142011834319527,0.28994082840236685,0.1301775147928994,0.03550295857988166
Recon_Ping_Sweep,confidence_0.7,Confidence floor (τ=0.7),169,31,0.6451612903225806,0.9349112426035503,0.16129032258064516,0.9655686408119534,0.19977663732815698,0.48520710059171596,0.05917159763313609,0.2781065088757396,0.0650887573964497,0.11242603550295859
Recon_Ping_Sweep,entropy_benign_p90,Entropy (benign-val p90),169,31,1.0,1.0,0.16129032258064516,0.9695562319841124,0.28191560081899647,0.25443786982248523,0.28994082840236685,0.25443786982248523,0.0,0.20118343195266272
Recon_Ping_Sweep,entropy_benign_p95,Entropy (benign-val p95),169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9674167402618944,0.2333076288988752,0.42011834319526625,0.1242603550295858,0.27218934911242604,0.005917159763313609,0.17751479289940827
Recon_Ping_Sweep,entropy_benign_p99,Entropy (benign-val p99),169,31,0.45161290322580644,0.8994082840236687,0.16129032258064516,0.9652694033631151,0.19493711277155848,0.5088757396449705,0.03550295857988166,0.28994082840236685,0.10059171597633136,0.0650887573964497
Recon_Ping_Sweep,ensemble_p90,Ensemble AE+IF (p90),169,31,0.0967741935483871,0.834319526627219,0.16129032258064516,0.9630447354382315,0.15313638418379558,0.5857988165680473,0.01775147928994083,0.23076923076923078,0.16568047337278108,0.0
Recon_Ping_Sweep,ensemble_p95,Ensemble AE+IF (p95),169,31,0.0,0.8165680473372781,0.16129032258064516,0.9617424361290554,0.12452468955247693,0.07692307692307693,0.0,0.7396449704142012,0.1834319526627219,0.0
Recon_Ping_Sweep,conf07_ent_p95,"Confidence + Entropy (τ=0.7, benign p95)",169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9674167402618944,0.2333076288988752,0.42011834319526625,0.1242603550295858,0.27218934911242604,0.005917159763313609,0.17751479289940827
Recon_Ping_Sweep,full_enhanced,Full enhanced (conf+ent+ensemble),169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9667880053974814,0.22096950035897572,0.4911242603550296,0.11242603550295859,0.20118343195266272,0.005917159763313609,0.1893491124260355
Recon_VulScan,baseline_ae_p90,"Baseline (Phase 6, AE p90)",973,522,0.44061302681992337,0.6998972250770812,0.44061302681992337,0.9648289527361734,0.18855532214747253,0.3936279547790339,0.23638232271325796,0.0698869475847893,0.3001027749229188,0.0
Recon_VulScan,baseline_ae_p95,Baseline (AE p95),973,522,0.3448275862068966,0.6485097636176773,0.44061302681992337,0.9596388080711177,0.0679926609407823,0.38848920863309355,0.18499486125385406,0.0750256937307297,0.35149023638232274,0.0
Recon_VulScan,confidence_0.6,Confidence floor (τ=0.6),973,522,0.4731800766283525,0.7173689619732785,0.44061302681992337,0.9652055212111159,0.1930225755843327,0.32168550873586843,0.30832476875642345,0.06372045220966084,0.28263103802672146,0.023638232271325797
Recon_VulScan,confidence_0.7,Confidence floor (τ=0.7),973,522,0.5421455938697318,0.7543679342240494,0.44061302681992337,0.9656112289132861,0.19873959635174301,0.2394655704008222,0.39054470709146966,0.05960945529290853,0.24563206577595068,0.06474820143884892
Recon_VulScan,entropy_benign_p90,Entropy (benign-val p90),973,522,0.8390804597701149,0.9136690647482014,0.44061302681992337,0.9696627022374443,0.28252718908713803,0.013360739979445015,0.6166495375128469,0.025693730729701953,0.08633093525179857,0.2579650565262076
Recon_VulScan,entropy_benign_p95,Entropy (benign-val p95),973,522,0.7452107279693486,0.8633093525179856,0.44061302681992337,0.9675657986165591,0.23519557529183396,0.07091469681397738,0.5590955806783144,0.050359712230215826,0.1366906474820144,0.1829393627954779
Recon_VulScan,entropy_benign_p99,Entropy (benign-val p99),973,522,0.5134099616858238,0.7389516957862282,0.44061302681992337,0.9653971676671135,0.19538915627409792,0.3658787255909558,0.2641315519013361,0.065775950668037,0.26104830421377184,0.04316546762589928
Recon_VulScan,ensemble_p90,Ensemble AE+IF (p90),973,522,0.09003831417624521,0.5118191161356629,0.44061302681992337,0.9625773870630797,0.14162257026617386,0.012332990750256937,0.048304213771839674,0.4511819116135663,0.4881808838643371,0.0
Recon_VulScan,ensemble_p95,Ensemble AE+IF (p95),973,522,0.034482758620689655,0.48201438848920863,0.44061302681992337,0.9612818121909561,0.11306405722338926,0.003083247687564234,0.018499486125385406,0.460431654676259,0.5179856115107914,0.0
Recon_VulScan,conf07_ent_p95,"Confidence + Entropy (τ=0.7, benign p95)",973,522,0.7452107279693486,0.8633093525179856,0.44061302681992337,0.9675657986165591,0.23519557529183396,0.07091469681397738,0.5590955806783144,0.050359712230215826,0.1366906474820144,0.1829393627954779
Recon_VulScan,full_enhanced,Full enhanced (conf+ent+ensemble),973,522,0.5402298850574713,0.7533401849948612,0.44061302681992337,0.9669079245249185,0.22253835722073018,0.0,0.06063720452209661,0.12127440904419322,0.24665981500513876,0.5714285714285714
MQTT_Malformed_Data,baseline_ae_p90,"Baseline (Phase 6, AE p90)",1747,472,0.3347457627118644,0.8202633085289067,0.3347457627118644,0.964572303388668,0.18852873135320553,0.4670864338866629,0.090440755580996,0.26273611906124783,0.1797366914710933,0.0
MQTT_Malformed_Data,baseline_ae_p95,Baseline (AE p95),1747,472,0.2584745762711864,0.7996565540927304,0.3347457627118644,0.9593888831606647,0.06865743079745792,0.4001144819690899,0.06983400114481969,0.3297080709788208,0.2003434459072696,0.0
MQTT_Malformed_Data,confidence_0.6,Confidence floor (τ=0.6),1747,472,0.4046610169491525,0.8391528334287349,0.3347457627118644,0.9648939556276813,0.19259712287606032,0.42301087578706353,0.1345163136805953,0.25186033199771035,0.16084716657126502,0.029765311963365768
MQTT_Malformed_Data,confidence_0.7,Confidence floor (τ=0.7),1747,472,0.5,0.8649112764739554,0.3347457627118644,0.9652895766742727,0.1981811896721355,0.3909559244419004,0.16657126502575845,0.24441900400686892,0.13508872352604465,0.06296508299942759
MQTT_Malformed_Data,entropy_benign_p90,Entropy (benign-val p90),1747,472,0.864406779661017,0.9633657698912421,0.3347457627118644,0.9693477744354835,0.2788310686840216,0.22667429879793932,0.3308528906697195,0.19690898683457356,0.03663423010875787,0.20892959358900973
MQTT_Malformed_Data,entropy_benign_p95,Entropy (benign-val p95),1747,472,0.7733050847457628,0.9387521465369204,0.3347457627118644,0.967201558276213,0.2318983168027229,0.3073840870062965,0.25014310246136234,0.22438465941614197,0.061247853463079566,0.15684029765311963
MQTT_Malformed_Data,entropy_benign_p99,Entropy (benign-val p99),1747,472,0.413135593220339,0.8414424728105323,0.3347457627118644,0.9649981844019958,0.1936607546467413,0.41499713795077275,0.14253005151688608,0.2621637092157985,0.15855752718946767,0.021751574127074985
MQTT_Malformed_Data,ensemble_p90,Ensemble AE+IF (p90),1747,472,0.3601694915254237,0.8271322266742988,0.3347457627118644,0.9624115176157836,0.14271279283112187,0.4813966800228964,0.09730967372638809,0.2484258729250143,0.1728677733257012,0.0
MQTT_Malformed_Data,ensemble_p95,Ensemble AE+IF (p95),1747,472,0.13559322033898305,0.7664567830566685,0.3347457627118644,0.9610083517508192,0.11404791661126917,0.16771608471665714,0.03663423010875787,0.5621064682312535,0.23354321694333144,0.0
MQTT_Malformed_Data,conf07_ent_p95,"Confidence + Entropy (τ=0.7, benign p95)",1747,472,0.7733050847457628,0.9387521465369204,0.3347457627118644,0.967201558276213,0.2318983168027229,0.3073840870062965,0.25014310246136234,0.22438465941614197,0.061247853463079566,0.15684029765311963
MQTT_Malformed_Data,full_enhanced,Full enhanced (conf+ent+ensemble),1747,472,0.8728813559322034,0.9656554092730395,0.3347457627118644,0.966614290773624,0.21953359746855639,0.3325701202060675,0.24613623354321695,0.1991986262163709,0.03434459072696051,0.1877504293073841
MQTT_DoS_Connect_Flood,baseline_ae_p90,"Baseline (Phase 6, AE p90)",3131,0,,1.0,,0.9648424016102786,0.1896987263009546,0.9996806132226126,0.0,0.00031938677738741617,0.0,0.0
MQTT_DoS_Connect_Flood,baseline_ae_p95,Baseline (AE p95),3131,0,,1.0,,0.95999744471392,0.07737921131704203,0.9996806132226126,0.0,0.00031938677738741617,0.0,0.0
MQTT_DoS_Connect_Flood,confidence_0.6,Confidence floor (τ=0.6),3131,0,,1.0,,0.9651887101184846,0.19374052702954236,0.9715745768125199,0.02810603641009262,0.0,0.0,0.00031938677738741617
MQTT_DoS_Connect_Flood,confidence_0.7,Confidence floor (τ=0.7),3131,0,,1.0,,0.9655776067280234,0.1998830005052251,0.9530501437240498,0.04663046949856276,0.0,0.0,0.00031938677738741617
MQTT_DoS_Connect_Flood,entropy_benign_p90,Entropy (benign-val p90),3131,0,,1.0,,0.9696178726570941,0.28337809450368284,0.6521877994251039,0.3474928137975088,0.0,0.0,0.00031938677738741617
MQTT_DoS_Connect_Flood,entropy_benign_p95,Entropy (benign-val p95),3131,0,,1.0,,0.9675041579435775,0.23540830164597015,0.8093260938997126,0.19035451932290004,0.0,0.0,0.00031938677738741617
MQTT_DoS_Connect_Flood,entropy_benign_p99,Entropy (benign-val p99),3131,0,,1.0,,0.9653893224905522,0.19618688010210866,0.9837112743532418,0.015969338869370808,0.0,0.0,0.00031938677738741617
MQTT_DoS_Connect_Flood,ensemble_p90,Ensemble AE+IF (p90),3131,0,,1.0,,0.9630155962110039,0.15225888797298376,0.3653784733312041,0.0,0.6346215266687959,0.0,0.0
MQTT_DoS_Connect_Flood,ensemble_p95,Ensemble AE+IF (p95),3131,0,,1.0,,0.9617390739105292,0.12393969207860239,0.00830405621207282,0.0,0.9916959437879271,0.0,0.0
MQTT_DoS_Connect_Flood,conf07_ent_p95,"Confidence + Entropy (τ=0.7, benign p95)",3131,0,,1.0,,0.9675041579435775,0.23540830164597015,0.8093260938997126,0.19035451932290004,0.0,0.0,0.00031938677738741617
MQTT_DoS_Connect_Flood,full_enhanced,Full enhanced (conf+ent+ensemble),3131,0,,1.0,,0.9668832682557259,0.2232031270774058,0.28744809964867457,0.07793037368252954,0.521877994251038,0.0,0.1127435324177579
ARP_Spoofing,baseline_ae_p90,"Baseline (Phase 6, AE p90)",1744,316,0.31962025316455694,0.8767201834862385,0.31962025316455694,0.9646473929357547,0.18672055734304785,0.4948394495412844,0.05791284403669725,0.32396788990825687,0.12327981651376146,0.0
ARP_Spoofing,baseline_ae_p95,Baseline (AE p95),1744,316,0.20569620253164558,0.8560779816513762,0.31962025316455694,0.9599100270322369,0.07759193767117824,0.24885321100917432,0.03727064220183486,0.569954128440367,0.14392201834862386,0.0
ARP_Spoofing,confidence_0.6,Confidence floor (τ=0.6),1744,316,0.41455696202531644,0.8939220183486238,0.31962025316455694,0.9648424016102786,0.18807668785066609,0.4690366972477064,0.08371559633027523,0.2786697247706422,0.10607798165137615,0.0625
ARP_Spoofing,confidence_0.7,Confidence floor (τ=0.7),1744,316,0.4651898734177215,0.9030963302752294,0.31962025316455694,0.9650105125365921,0.18983168027228972,0.4455275229357798,0.10722477064220183,0.2368119266055046,0.09690366972477064,0.11353211009174312
ARP_Spoofing,entropy_benign_p90,Entropy (benign-val p90),1744,316,0.930379746835443,0.9873853211009175,0.31962025316455694,0.968781800983561,0.264232722631425,0.16169724770642202,0.39105504587155965,0.07912844036697247,0.01261467889908257,0.3555045871559633
ARP_Spoofing,entropy_benign_p95,Entropy (benign-val p95),1744,316,0.7278481012658228,0.9506880733944955,0.31962025316455694,0.9662197904665415,0.20873773499614434,0.36009174311926606,0.1926605504587156,0.1496559633027523,0.04931192660550459,0.24827981651376146
ARP_Spoofing,entropy_benign_p99,Entropy (benign-val p99),1744,316,0.3829113924050633,0.8881880733944955,0.31962025316455694,0.9647830024163144,0.18741191799399048,0.48107798165137616,0.0716743119266055,0.30504587155963303,0.11181192660550458,0.030389908256880736
ARP_Spoofing,ensemble_p90,Ensemble AE+IF (p90),1744,316,0.31962025316455694,0.8767201834862385,0.31962025316455694,0.9629584384960572,0.15233866035578483,0.6009174311926605,0.05791284403669725,0.21788990825688073,0.12327981651376146,0.0
ARP_Spoofing,ensemble_p95,Ensemble AE+IF (p95),1744,316,0.15822784810126583,0.8474770642201835,0.31962025316455694,0.961823129373686,0.1285930810753317,0.411697247706422,0.028669724770642203,0.40711009174311924,0.15252293577981652,0.0
ARP_Spoofing,conf07_ent_p95,"Confidence + Entropy (τ=0.7, benign p95)",1744,316,0.7278481012658228,0.9506880733944955,0.31962025316455694,0.9662197904665415,0.20873773499614434,0.36009174311926606,0.1926605504587156,0.1496559633027523,0.04931192660550459,0.24827981651376146
ARP_Spoofing,full_enhanced,Full enhanced (conf+ent+ensemble),1744,316,0.6740506329113924,0.9409403669724771,0.31962025316455694,0.9654173409782711,0.19318212034993484,0.4375,0.2213302752293578,0.07224770642201835,0.059059633027522936,0.2098623853211009
