percentile,ent_threshold,h2_strict_pass,h2_strict_pass_int,h2_strict_evaluated,h2_strict_avg,h2_binary_avg,avg_false_alert_rate
85.0,0.03764260094612837,4/4,4,4,0.9713664519560287,0.9897403509552344,0.3185577153189566
85.5,0.04303998751565806,4/4,4,4,0.9699296703468333,0.9891237014177217,0.3151062302230968
86.0,0.04931268095970154,4/4,4,4,0.9667438950910012,0.9879812732894508,0.3116441088095302
86.5,0.05521833896636963,4/4,4,4,0.9667438950910012,0.9879812732894508,0.30842662270322013
87.0,0.0628708828240634,4/4,4,4,0.9649441676304806,0.9875465625754408,0.3046135028053288
87.5,0.07077118754386902,4/4,4,4,0.9611339682997663,0.9865858763406804,0.300768473954317
88.0,0.08091185539960848,4/4,4,4,0.9558362535459726,0.9850996084451549,0.296710718749169
88.5,0.092029352299869,4/4,4,4,0.9493192061624913,0.983202043927961,0.2921956018826283
89.0,0.10337232500314718,4/4,4,4,0.945987934034842,0.9824469075390383,0.2876592123806738
89.5,0.11588926464319255,4/4,4,4,0.9350601787803089,0.9792229783674286,0.28311750471986596
90.0,0.13031890243291855,4/4,4,4,0.9084667465666437,0.9728840311480722,0.27817693514505276
90.5,0.14540667682886121,4/4,4,4,0.8972412929986413,0.9703205973460534,0.27312468423431807
91.0,0.16325655132532124,4/4,4,4,0.8928506988370937,0.9693364970189509,0.26728534581327945
91.5,0.1815398350358018,4/4,4,4,0.8865003666192364,0.9677353532943499,0.26218523147286404
92.0,0.20010040998458875,4/4,4,4,0.8821605062715727,0.9666601850904994,0.25747334272874733
92.5,0.22130724601447582,4/4,4,4,0.8713900643720905,0.964849721447484,0.25248490972425347
93.0,0.2497143611311912,4/4,4,4,0.8589586873140701,0.9621031672420063,0.24733161379530405
93.5,0.2797542780637749,4/4,4,4,0.8497560101716288,0.95995243697432,0.24268354295742817
94.0,0.3132252871990181,4/4,4,4,0.8391817989578478,0.9576636137152091,0.23818969872630097
94.5,0.35513002946972877,4/4,4,4,0.8145863053528821,0.9519749437512706,0.23308426622703218
95.0,0.3946473151445389,4/4,4,4,0.8035264623662012,0.9493664825372174,0.2289095115271093
95.5,0.4612793691456318,3/4,3,4,0.768035326001426,0.9426285066094714,0.22323503603052625
96.0,0.5137742877006487,3/4,3,4,0.7481156380141244,0.937345111976916,0.21926768952588613
96.5,0.5757263690233223,1/4,1,4,0.7233849716302314,0.9312365356084038,0.21477384529475896
97.0,0.6468810081481934,1/4,1,4,0.6880724671804056,0.9224152012795962,0.21006195655064216
97.5,0.7210066094994545,1/4,1,4,0.6258826291491567,0.9104100985264681,0.20487675166857233
98.0,0.7918123900890349,0/4,0,4,0.5482831282946443,0.8955917677244513,0.20060095195043476
98.5,0.8674021944403645,0/4,0,4,0.49470684113854974,0.8849485982408558,0.19688887707075808
99.0,0.950702887773515,0/4,0,4,0.44026746263425814,0.873598105202985,0.19351716435769936
