beta,variant,variant_name,h2_strict_pass,h2_strict_pass_int,h2_strict_avg,h2_strict_evaluated,h2_binary_pass,h2_binary_pass_int,h2_binary_avg,avg_flag_rate,avg_false_alert_rate
1.0,vae_p90,VAE-only baseline (p90),0/4,0,0.3310644948030146,4,4/5,4,0.8491556311935098,0.9643678805022706,0.18047172069029702
1.0,vae_p95,VAE-only baseline (p95),0/4,0,0.21417428811605044,4,4/5,4,0.8238858092181583,0.9603388219682876,0.08762198526869998
1.0,vae_p99,VAE-only baseline (p99),0/4,0,0.05413726682548551,4,4/5,4,0.7825345032014647,0.9572926519834848,0.02017177653096498
1.0,entropy_benign_p93_vae_p90,Entropy p93 + VAE p90,4/4,4,0.8570496830716444,4,5/5,5,0.9613950559677603,0.9685197720864135,0.258808200600952
1.0,entropy_benign_p95_vae_p90,Entropy p95 + VAE p90,4/4,4,0.7978072587930611,4,5/5,5,0.9476976850282111,0.9676339395786917,0.23984896428856334
1.0,entropy_benign_p95_vae_p95,Entropy p95 + VAE p95,2/4,2,0.7595434567296361,4,5/5,5,0.9372461654521608,0.9641733201235503,0.15890658653973994
1.0,entropy_benign_p93_vae_p95,Entropy p93 + VAE p95,4/4,4,0.8266811670328749,4,5/5,5,0.9530932820094329,0.9651156379025135,0.1789454090993698
1.0,conf07_ent_p95_vae_p90,Confidence + Entropy p95 + VAE p90 (τ=0.7),4/4,4,0.7978072587930611,4,5/5,5,0.9476976850282111,0.9676339395786917,0.23984896428856334
1.0,entropy_benign_p93_ae_p90,Entropy p93 + AE p90 (§15D baseline / SOFT tripwire),4/4,4,0.8589586873140701,4,5/5,5,0.9621031672420063,0.968038526541353,0.24733161379530405
1.0,entropy_benign_p95_ae_p90,Entropy p95 + AE p90 (§15C anchor / HARD tripwire),4/4,4,0.8035264623662012,4,5/5,5,0.9493664825372174,0.9671816091129571,0.2289095115271093
