,DDoS,DoS,MQTT,Recon,Spoofing
test_bg::DDoS,1.0000001,0.99097115,0.7439229,0.4600609,0.29933125
test_bg::DoS,0.99097115,1.0000001,0.74115103,0.44479898,0.30334353
test_bg::MQTT,0.7439229,0.74115103,1.0000001,0.70736396,0.6384053
test_bg::Recon,0.4600609,0.44479898,0.70736396,0.99999976,0.7516913
test_bg::Spoofing,0.29933125,0.30334353,0.6384053,0.7516913,1.0
train_bg::DDoS,0.99999994,0.9889786,0.6908851,0.44507632,0.28688562
train_bg::DoS,0.9889786,1.0,0.7023441,0.4525318,0.30972785
train_bg::MQTT,0.6908851,0.7023441,1.0000001,0.727676,0.6531782
train_bg::Recon,0.44507632,0.4525318,0.727676,1.0,0.7552661
train_bg::Spoofing,0.28688562,0.30972785,0.6531782,0.7552661,1.0
