feature,importance
IAT,0.14014866758086336
Magnitue,0.07061763034080024
Tot size,0.052515239372008596
AVG,0.049903275112373906
Min,0.047562032042367065
TCP,0.04656239376442611
syn_count,0.04524479084520538
syn_flag_number,0.0449148819197392
rst_count,0.042533275981189604
fin_count,0.04246452240202407
Rate,0.04116801616555444
Header_Length,0.03936044115085871
Srate,0.0389296175680855
Protocol Type,0.03199581286733492
Tot sum,0.025545613124964
Max,0.02448095548004649
ack_count,0.022021164633496935
ack_flag_number,0.021609181468134096
UDP,0.01767104714540989
Weight,0.017219662111975828
Number,0.016295858712064116
psh_flag_number,0.01554781452948289
rst_flag_number,0.015005519664829166
ICMP,0.01334388188427969
Duration,0.012997165162060412
Variance,0.012273989010552369
fin_flag_number,0.010019624839528235
Covariance,0.009259433527723864
Std,0.00898937659603455
HTTPS,0.006505797472745617
Radius,0.006440516221242888
ARP,0.00430772245457513
IPv,0.0038816176788584395
LLC,0.0022902113674827056
DNS,0.00016800752505050727
HTTP,0.000132162104129624
Telnet,2.2119089241738663e-05
SSH,2.198077805937944e-05
SMTP,1.4135609818761144e-05
IRC,1.0755070335641448e-05
ece_flag_number,2.8475341497303143e-06
cwr_flag_number,1.153504393627687e-06
DHCP,8.824815990995392e-08
IGMP,3.383427233239163e-10
