class,precision,recall,f1-score,support
Recon_Ping_Sweep,0.8571428571428571,0.7100591715976331,0.7766990291262136,169
Recon_VulScan,0.7193763919821826,0.3319630010277492,0.4542897327707454,973
ARP_Spoofing,0.8128693368351937,0.7098623853211009,0.7578818487909397,1744
MQTT_Malformed_Data,0.9783637592968222,0.8282770463651975,0.8970861748295103,1747
Recon_OS_Scan,0.8720990201134605,0.5749744984699082,0.6930327868852459,2941
MQTT_DoS_Connect_Flood,1.0,0.9990418396678378,0.9995206902061032,3131
MQTT_DDoS_Publish_Flood,0.9992657856093979,0.808578897338403,0.8938657559437804,8416
DoS_ICMP,0.9943916118019995,0.9650928884155722,0.9795232090314058,8451
MQTT_DoS_Publish_Flood,0.840664228526243,1.0,0.9134357211899903,8505
DDoS_TCP,0.9713931749070841,0.9874069834001145,0.9793346201884864,8735
Recon_Port_Scan,0.8944903070216121,0.9844826706140575,0.9373314217675504,19591
DDoS_ICMP,0.9971567831031681,0.9983225740863112,0.9977393380578627,19673
Benign,0.9661915107837422,0.9696599037413247,0.9679226001672219,37607
MQTT_DDoS_Connect_Flood,0.9999045778763807,0.9999761427617139,0.9999403590385877,41916
DoS_TCP,0.9999530218683202,0.9997181974027194,0.9998355958476208,42583
DDoS_SYN,0.9979447670174414,0.9992915059434779,0.9986176824265854,88921
DoS_SYN,0.9998768927736058,0.9992003444669988,0.9995385041380795,97542
DoS_UDP,0.9996509217846624,0.999302087195481,0.9994764740527452,137553
DDoS_UDP,0.9998094385895141,0.9998591432595907,0.9998342903068115,362070
