model,feature_set,task,metric,original,smote,delta
RF,reduced,binary,test_f1_macro,0.9837,0.9851,0.0014
RF,reduced,binary,test_mcc,0.9676,0.9702,0.0026
RF,reduced,binary,test_recall_macro,0.9901,0.986,-0.004
RF,reduced,category,test_f1_macro,0.9075,0.9082,0.0007
RF,reduced,category,test_mcc,0.9921,0.9921,0.0
RF,reduced,category,test_recall_macro,0.9688,0.9654,-0.0033
RF,reduced,multiclass,test_f1_macro,0.8469,0.8356,-0.0114
RF,reduced,multiclass,test_mcc,0.9801,0.9793,-0.0008
RF,reduced,multiclass,test_recall_macro,0.881,0.8798,-0.0012
RF,full,binary,test_f1_macro,0.988,0.9865,-0.0015
RF,full,binary,test_mcc,0.9763,0.973,-0.0033
RF,full,binary,test_recall_macro,0.9984,0.9886,-0.0098
RF,full,category,test_f1_macro,0.9107,0.9134,0.0027
RF,full,category,test_mcc,0.9926,0.993,0.0003
RF,full,category,test_recall_macro,0.9689,0.9657,-0.0031
RF,full,multiclass,test_f1_macro,0.8551,0.838,-0.0171
RF,full,multiclass,test_mcc,0.9811,0.9798,-0.0013
RF,full,multiclass,test_recall_macro,0.8806,0.8773,-0.0033
XGB,reduced,binary,test_f1_macro,0.9831,0.9812,-0.0019
XGB,reduced,binary,test_mcc,0.9662,0.9625,-0.0038
XGB,reduced,binary,test_recall_macro,0.9822,0.9755,-0.0068
XGB,reduced,category,test_f1_macro,0.9352,0.9307,-0.0045
XGB,reduced,category,test_mcc,0.9942,0.9932,-0.001
XGB,reduced,category,test_recall_macro,0.9432,0.9428,-0.0004
XGB,reduced,multiclass,test_f1_macro,0.8987,0.8538,-0.0449
XGB,reduced,multiclass,test_mcc,0.9905,0.9821,-0.0084
XGB,reduced,multiclass,test_recall_macro,0.8835,0.885,0.0015
XGB,full,binary,test_f1_macro,0.9815,0.9803,-0.0012
XGB,full,binary,test_mcc,0.963,0.9607,-0.0023
XGB,full,binary,test_recall_macro,0.9792,0.974,-0.0051
XGB,full,category,test_f1_macro,0.9363,0.9204,-0.0159
XGB,full,category,test_mcc,0.9925,0.9935,0.0011
XGB,full,category,test_recall_macro,0.9329,0.9391,0.0062
XGB,full,multiclass,test_f1_macro,0.9076,0.8708,-0.0368
XGB,full,multiclass,test_mcc,0.9906,0.9846,-0.006
XGB,full,multiclass,test_recall_macro,0.8876,0.8929,0.0053
